step_cost,person,device,pay_mean,pay_halfwidth95,pay_diff_vs_own,pay_diff_halfwidth95,avoidable_mean,avoidable_halfwidth95,avoidable_diff_vs_own,avoidable_diff_halfwidth95,missed_mean,missed_halfwidth95,missed_diff_vs_own,missed_diff_halfwidth95
-0.5,fearful,own,4.649975,0.12074832340149501,0.0,0.0,0.00107,0.00020263649260950352,0.0,0.0,0.03339,0.0011135048019725105,0.0,0.0
-0.5,population (equal mix),procedure,4.34380875,0.12588458156065974,0.055255,0.030206506368636366,0.00421,0.0003033127609592277,-0.002345,0.00020726591385751415,0.0170375,0.0007241194756859192,-0.025655,0.0007396426470181751
-0.5,calibrated,procedure,4.51629,0.1258038767240768,-0.182055,0.01946996576183788,0.00207,0.00028170428618437554,-0.0003,0.00012394795759092565,0.01127,0.0006542730876066441,-0.00668,0.0005064028735308511
-0.5,overconfident,procedure,3.92841,0.13827355719545623,0.286055,0.059940866733936025,0.01048,0.0006311770109864521,-0.00619,0.0005478107790733008,0.02208,0.0009107715195729436,-0.02252,0.0009520251959655992
-0.5,anxious,procedure,4.447265,0.1266760196698778,0.283725,0.056957821600482614,0.00298,0.000337845633315453,-0.00313,0.0003959124268775831,0.01835,0.0008318683720937376,-0.05648,0.0014372367046826533
-0.5,fearful,procedure,4.48327,0.12378862371134092,-0.166705,0.027336949529335255,0.00131,0.00022418638874331545,0.00024,0.00012395297851124358,0.01645,0.0007883869290516547,-0.01694,0.0008003235417755216
-0.5,population (equal mix),interval only,4.28868,0.12582056448676437,0.00012625,0.028554322245036276,0.00465,0.00031987080706643445,-0.001905,0.00019662434739100816,0.0211,0.0007881223534505539,-0.0215925,0.0006949233733643216
-0.5,calibrated,interval only,4.51629,0.1258038767240768,-0.182055,0.01946996576183788,0.00207,0.00028170428618437554,-0.0003,0.00012394795759092565,0.01127,0.0006542730876066441,-0.00668,0.0005064028735308511
-0.5,overconfident,interval only,3.92841,0.13827355719545623,0.286055,0.059940866733936025,0.01048,0.0006311770109864521,-0.00619,0.0005478107790733008,0.02208,0.0009107715195729436,-0.02252,0.0009520251959655992
-0.5,anxious,interval only,4.23912,0.1285679744232191,0.07558,0.04804368356194349,0.00495,0.000434994027726866,-0.00116,0.0003122914066855296,0.03294,0.0011062333581052532,-0.04189,0.0012540268899990973
-0.5,fearful,interval only,4.4709,0.12321712534427517,-0.179075,0.02500534278689234,0.0011,0.00020545446881337857,3e-05,8.543464412276886e-05,0.01811,0.0008265114730108409,-0.01528,0.0007607899064777463
-0.5,population (equal mix),relief only,4.39194,0.12446344295620569,0.10338625,0.012483405840009633,0.0060125,0.00033718292145469824,-0.0005425,8.908469729382774e-05,0.0319075,0.0009461496668154673,-0.010785,0.00031573402220876957
-0.5,calibrated,relief only,4.698345,0.12529628157815134,0.0,0.0,0.00237,0.00030138189972208815,0.0,0.0,0.01795,0.0008229193403501993,0.0,0.0
-0.5,overconfident,relief only,3.642355,0.14453581030526,0.0,0.0,0.01667,0.0007935525422263941,0.0,0.0,0.0446,0.0012794351874886002,0.0,0.0
-0.5,anxious,relief only,4.563355,0.1254880364939223,0.399815,0.04762462870979479,0.00363,0.0003727536259545393,-0.00248,0.0003391354837854092,0.03539,0.0011451817124535062,-0.03944,0.001210208624821173
-0.5,fearful,relief only,4.663705,0.12178286920714804,0.01373,0.015022757820086122,0.00138,0.00023009009101675768,0.00031,0.00010911181089264698,0.02969,0.0010520069168061252,-0.0037,0.00037631728781310455
-0.5,population (equal mix),agent-timed prompt,3.373005,0.13153371086780113,-0.91554875,0.04353273944580168,0.014295,0.0006876647100987045,0.00774,0.0004033570832497751,0.0804125,0.001344957451513974,0.03772,0.000686100068502139
-0.5,calibrated,agent-timed prompt,3.642355,0.14453581030526,-1.05599,0.07722904601004439,0.01667,0.0007935525422263941,0.0143,0.0007446879197093086,0.0446,0.0012794351874886002,0.02665,0.001018069495218755
-0.5,overconfident,agent-timed prompt,3.642355,0.14453581030526,0.0,0.0,0.01667,0.0007935525422263941,0.0,0.0,0.0446,0.0012794351874886002,0.0,0.0
-0.5,anxious,agent-timed prompt,3.642355,0.14453581030526,-0.521185,0.06872767270573656,0.01667,0.0007935525422263941,0.01056,0.0006335558913569303,0.0446,0.0012794351874886002,-0.03023,0.0010612353034069738
-0.5,fearful,agent-timed prompt,2.564955,0.11321655021527653,-2.08502,0.08527534959308414,0.00717,0.0005229440987360923,0.0061,0.0005051652923150258,0.18785,0.002420928520834316,0.15446,0.002247457938864767
-0.5,population (equal mix),compressed interval,0.37955,0.09025832185975655,-3.90900375,0.0976315706829293,0.01659,0.0005906437385689102,0.010035,0.0005316216774704354,0.3246675,0.0026106998675468397,0.281975,0.002411987768302307
-0.5,calibrated,compressed interval,0.778,0.10217023984230973,-3.920345,0.1178609757412807,0.012,0.0006748812122488715,0.00963,0.0006984145882489646,0.32672,0.0029069928256152404,0.30877,0.002868125189641246
-0.5,overconfident,compressed interval,-0.2702,0.15746860622344636,-3.912555,0.1339519009667855,0.04047,0.001221389336053292,0.0238,0.0011607753249244872,0.21104,0.0025291123629739834,0.16644,0.002354931394839591
-0.5,anxious,compressed interval,0.778,0.10217023984230973,-3.38554,0.11273034727071964,0.012,0.0006748812122488715,0.00589,0.0007081932812895335,0.32672,0.0029069928256152404,0.25189,0.002712482396221936
-0.5,fearful,compressed interval,0.2324,0.05589004640929112,-4.417575,0.11411993477949874,0.00189,0.0002692020410468484,0.00082,0.000319627518682461,0.43419,0.0030720866471546787,0.4008,0.003038832973168875
